company_name,url,snippet,social_links,content_length,scrape_method,success
Caruso Ventures,https://carusoventures.com,Caruso Ventures is a private investment firm focused on tech and high-growth companies. Founded by Dan Caruso[5].,"twitter: https://getfreshx.com/, linkedin: https://www.linkedin.com/in/kylieheatherdoherty/",7734,requests,Yes
Zayo Group,https://www.zayo.com,Zayo Group provides fiber infrastructure and bandwidth connectivity solutions. Sandi Lewis is a board member; Dan Caruso is a co-founder[5].,,5514,requests,Yes
Liberty Global,https://www.libertyglobal.com,Liberty Global is a multinational telecommunications company. Mike Fries is CEO and board member[5].,,5781,requests,Yes
DaVita,https://www.davita.com,DaVita is a healthcare company specializing in kidney care and dialysis services. Kent Thiry is the former CEO and board member[5].,,2315,requests,Yes
Flock Safety,https://www.flocksafety.com,"Develops security technology, including license plate reading cameras, to help communities and law enforcement reduce crime[3].","instagram: https://www.instagram.com/flocksafety/, youtube: https://youtube.com/@FlockSafety, linkedin: https://www.linkedin.com/company/flock-safety/, facebook: https://www.facebook.com/flocksafety, twitter: https://twitter.com/Flock_Safety",20898,requests,Yes
Techstars,https://www.techstars.com,"Global platform for investment and innovation, providing accelerator programs and funding for startups[3].","linkedin: https://www.linkedin.com/company/techstars/, instagram: https://www.instagram.com/techstars/, twitter: https://twitter.com/techstars, facebook: https://www.facebook.com/techstars, youtube: https://www.youtube.com/user/techstarstv",3914,requests,Yes
1. Atom Computing,https://atom-computing.com,"Develops scalable quantum computers using neutral atoms, with headquarters in Boulder, Colorado. Atom Computing has raised significant venture capital and is a leading deep tech startup in quantum tec","facebook: https://www.facebook.com/atomcomputing/, twitter: https://twitter.com/atom_computing?lang=en, linkedin: https://www.linkedin.com/company/atom-computing, youtube: https://www.youtube.com/channel/UCN9UBkmEs7aIGfFPrYFd9ZQ",6861,requests,Yes
2. Ampersand,https://www.ampersand.energy,"Provides AI-driven energy management solutions for commercial buildings, leveraging advanced data science and IoT. Founded in 2021 in Colorado, Ampersand has secured venture funding for its deep tech ",,2471,requests,Yes
3. Vitro3D,https://vitro3d.com,"Specializes in volumetric 3D printing technology for medical and industrial applications. Founded in 2020 in Boulder, Vitro3D has received venture capital and is recognized for its innovative deep tec",,1884,requests,Yes
4. LightDeck Diagnostics,https://www.lightdeckdx.com,"Develops rapid, multiplexed diagnostic platforms using advanced photonics and microfluidics. Based in Boulder and founded in 2020, LightDeck has raised venture capital for its deep tech healthcare sol",,277,requests,No
5. Airion Health,https://airionhealth.com,"Focuses on advanced air purification technologies using novel engineering and materials science. Founded in 2021 in Colorado, Airion Health has attracted venture capital for its deep tech innovations ",,0,requests,No
6. Point Designs,https://pointdesigns.com,"Designs and manufactures prosthetic devices using advanced materials and additive manufacturing. Founded in 2020 in Colorado, Point Designs has secured venture capital and is a deep tech leader in med",,266,playwright,Yes
7. MycoTechnology,https://mycoiq.com,"Develops novel food ingredients using mushroom mycelium fermentation, applying deep tech in biotechnology. While the company was founded earlier, it has launched new deep tech ventures and received ad",,3644,requests,Yes
9. Mosaic Materials (Colorado Office),https://mosaicmaterials.com,Develops advanced materials for carbon capture using metal-organic frameworks. Mosaic Materials has expanded operations and secured new VC funding for deep tech development in Colorado since 2020[2][1,,5887,requests,Yes
10. Vartega,https://vartega.com,"Specializes in advanced recycling technologies for carbon fiber and composite materials. Founded in Colorado, Vartega has raised venture capital and is recognized for its deep tech approach to sustain",,3584,requests,Yes
1. Enveda Biosciences,https://envedabio.com,"Biotechnology company using AI and metabolomics to discover new medicines from natural products; raised Series B ($55M, 2024) and Series C ($130M, 2024)[3].",,1496,requests,Yes
2. Iontra,https://iontra.com,"DeepTech company developing advanced battery charging and management technology; raised Series C ($45M, 2024)[3].",,11692,requests,Yes
3. Lunar Outpost,https://lunaroutpost.com,"Robotics and space technology company building autonomous systems for harsh environments, including lunar and planetary exploration; raised Series A (2024)[3].",,1246,requests,Yes
4. Brightwave,https://brightwave.io,"AI-powered platform for automating and optimizing business processes; raised Series A ($15M, 2024)[3].","linkedin: https://www.linkedin.com/company/brightwave-io/about/, twitter: https://x.com/brightwaveio",8912,requests,Yes
6. Foresight Diagnostics,https://foresight-dx.com,"Biotechnology company specializing in ultra-sensitive cancer detection and monitoring using advanced genomics; raised Series B ($33M, 2024)[3].",twitter: https://foresight-dx.com/resources/,5638,requests,Yes
7. Todyl,https://todyl.com,"Cybersecurity platform offering secure access, endpoint security, and compliance solutions; raised Series B ($50M, 2024)[4].",,4116,requests,Yes
8. Defense Unicorns,https://defenseunicorns.com,"Provides open source software delivery and AI solutions for government agencies; raised Series A ($35M, 2024)[4].",,10793,requests,Yes
9. Maybell Quantum,https://maybellquantum.com,Quantum computing hardware company developing cryogenic and quantum control systems; raised Series A (2024)[4].,,6358,requests,Yes
10. Vescent,https://vescent.com,Advanced photonics and quantum technology company specializing in laser and optical systems for quantum computing and sensing; raised Series B (2024)[4].,,1529,requests,Yes
Cloverleaf AI,https://www.cloverleaf.ai,Provides AI-powered media monitoring and intelligence solutions for organizations; recently raised seed funding and expanding quickly[1].,,5647,requests,Yes
Think Bioscience,https://thinkbioscience.com,Biotech startup leveraging synthetic biology and AI to develop new drug discovery platforms; recently raised seed funding[1].,,1660,playwright,Yes
Fulfilld,https://fulfilld.io,AI-powered warehouse management platform optimizing logistics and supply chain operations; seed funded and expanding[1].,,0,requests,No
LongPath Technologies,https://longpathtech.com,Cleantech company using advanced sensing and analytics (including AI) to detect and reduce methane emissions; significant VC backing[1].,,0,requests,No
Precog Data,https://www.precog.com,Provides AI-driven data integration and analytics solutions for enterprises; recently funded and scaling in Colorado[1].,,2222,requests,Yes
1. Swimlane,https://www.swimlane.com,Cybersecurity automation platform founded by technical expert Cody Cornell; helps organizations automate and orchestrate security operations[1].,youtube: https://www.youtube.com/embed/gP9eOg3tU-U?si=W7XTV8Su31pxTJmA,15320,requests,Yes
2. RemoteLock,https://www.remotelock.com,Provides cloud-based software to control Wi-Fi locks for property managers and enterprises; founded by technical entrepreneur Nolan Mondrow[1].,,6385,requests,Yes
3. Ibotta,https://www.ibotta.com,"Mobile rewards platform for cash back on purchases; founded by Bryan Leach, a former attorney turned technical founder[3].",,3959,requests,Yes
4. Havenly,https://www.havenly.com,"Online interior design service leveraging software for personalized design; founded by Lee Mayer, a technical founder with a background in product and engineering[3].","facebook: https://www.facebook.com/TheHavenly, twitter: https://twitter.com/theHavenly, instagram: https://www.instagram.com/theHavenly",11039,requests,Yes
6. Agilent Technologies,https://www.agilent.com,Provides hardware and software solutions for analytical laboratories; technical founding roots in scientific instrumentation[12].,,10575,requests,Yes
7. Wajusoft,https://www.wajusoft.com,Software development company focused on early-stage startups and technical consulting; founded by software engineers[16].,"linkedin: https://www.linkedin.com/company/wajusoft, instagram: https://www.instagram.com/wajusoft/, facebook: https://web.facebook.com/wajusoft/?_rdc=1&_rdr, twitter: https://twitter.com/wajusoft",11871,requests,Yes
8. NexusTek,https://www.nexustek.com,"Managed IT services provider specializing in cloud, cybersecurity, and enterprise software; founded by technical professionals[8].",,3550,requests,Yes
9. Matchstick Ventures,https://www.matchstickventures.com,"Early-stage venture firm investing in technical founders, co-founded by Natty Zola, a former startup CTO[3].",,17763,requests,Yes
10. Range Ventures,https://www.range.vc,"Denver-based venture capital firm supporting technical founders in software and hardware startups; co-founded by Chris Erickson, a technical entrepreneur[3].",,8254,requests,Yes
1. Raptt,https://raptt.com,"Cloud computing startup based in Denver, offering cloud infrastructure solutions; received recent seed funding[3].",,0,requests,No
2. Fluint,https://fluint.io,AI-powered sales collaboration platform helping teams close deals faster; recently raised $2.4M in seed funding[3].,,13145,requests,Yes
3. BlueSuit,https://bluesuit.com,Real estate technology company providing AI-driven lease abstraction and data solutions; received $2.38M in seed funding and is backed by Techstars[11].,,0,requests,No
4. Buderflys,https://buderflys.com,Audio technology startup developing innovative earbuds designed for comfort and sound quality; recently funded at the seed stage[11].,"facebook: https://www.facebook.com/buderflys.earbuds/, twitter: https://twitter.com/buderflys, instagram: https://www.instagram.com/buderflys.earbuds/, linkedin: https://www.linkedin.com/company/buderflys-technologies-inc/",16229,requests,Yes
5. Elenas,https://elenas.com,Social commerce platform enabling individuals in Latin America to sell products through social networks; Colorado-based and recently raised seed funding[9].,,649,requests,Yes
6. DMC Biotechnologies,https://dmcbiotechnologies.com,Biotechnology company developing scalable fermentation-based production of chemicals; Colorado-based and recently funded[9].,,0,requests,No
7. Bond Pet Foods,https://www.bondpets.com,Biotechnology startup creating animal-free pet food proteins using cellular agriculture; received seed funding in the last five years[9].,"instagram: https://www.instagram.com/reel/Cq8EfGpKJEW/, facebook: https://www.facebook.com/bondpetfoods, twitter: https://twitter.com/bondpetfoods, linkedin: https://www.linkedin.com/company/bondpetfoods",7594,requests,Yes
9. Left Hand Robotics,https://lefthandrobotics.com,Robotics company developing autonomous outdoor robots for snow removal and lawn mowing; recently received seed funding[9].,,0,playwright,Yes
10. Flashback Technologies,https://flashbacktechnologies.com,Medical device company developing AI-powered emergency care solutions; Colorado-based and raised seed funding in the last five years[9].,,0,requests,No
Nextworld,https://www.nextworld.com/,"Nextworld is an information technology company focused on digital transformation and enterprise software solutions, serving clients across various industries.",,30,requests,No
Parsyl,https://www.parsyl.com/,"Parsyl provides real-time supply chain visibility and data analytics for life sciences and logistics, helping companies monitor and protect temperature-sensitive products.",,3696,requests,Yes
H3X Technologies,https://www.h3x.tech/,H3X Technologies is advancing manufacturing through innovative electric propulsion and power systems for aerospace and defense applications.,"linkedin: https://www.linkedin.com/company/h3x-technologies/, twitter: https://x.com/h3x_tech",6965,requests,Yes
Growlink,https://www.growlink.com/,"Growlink offers smart irrigation and automation solutions for agriculture, helping growers optimize water use and crop yields.",,5858,requests,Yes
Peak Energy,https://www.peakenergy.com/,"Peak Energy is an energy company focused on developing and deploying clean energy solutions, including solar and storage technologies.",linkedin: https://www.linkedin.com/feed/update/urn:li:activity:7317986544961675264/,37132,requests,Yes
Cast,https://www.cast.com/,Cast is a financial services startup providing innovative payment and transaction solutions for businesses and consumers.,,0,requests,No
Credit Pulse,https://www.creditpulse.com/,Credit Pulse offers data-driven credit risk analytics and decisioning tools for lenders and financial institutions.,,3503,requests,Yes
1. Prins AI,https://prins.ai,"Develops deep learning technology for digital identity training platforms, enabling creation of digital human identities for video content; raised $100M Series B in October 2023[5].",,1401,requests,Yes
2. AgentSync,https://agentsync.io,"Provides infrastructure and compliance management solutions for insurance carriers, agencies, and MGAs; raised $50M Series B in October 2023[5][13].",,2675,requests,Yes
4. Splash Sports,https://splashsports.com,"Operates a platform for fantasy sports and gaming, enabling users to create and manage sports contests; raised Series B funding in October 2025[1].",,17118,requests,Yes
6. Beemmunity,https://beemmunity.com,Develops solutions to protect bees from pesticides using ingestible micro-particles; raised Series B funding[13].,,970,playwright,Yes
9. Ursa Major Technologies,https://www.ursamajortechnologies.com,Designs and manufactures rocket propulsion systems for space launch and hypersonics; raised Series C funding[17].,,1845,requests,Yes
10. AOA Dx,https://aoadx.com,"Develops cancer diagnostics, focusing on early detection of ovarian cancer; raised Series B funding in 2023[5].",twitter: https://aoadx.com/careers-opportunities/,5374,requests,Yes
3. Pie Insurance,https://pieinsurance.com,"**Insurtech startup** providing workers’ compensation insurance for small businesses, using data-driven pricing. Denver-based, recently raised a large Series D[9][13].",,1754,requests,Yes
6. Uplight,https://uplight.com,"**Energy management and customer engagement solutions** for utilities, helping reduce energy consumption and improve grid efficiency. Boulder-based, recently funded for product expansion[9][12].",,14094,requests,Yes
8. Otter Products,https://otterproducts.com,"**Consumer electronics accessories company** known for OtterBox cases, expanding into new product lines. Fort Collins-based, recently received growth investment[9].",linkedin: https://www.linkedin.com/company/otterproducts/,5438,requests,Yes
9. Wurk,https://enjoywurk.com,"**HR and payroll platform for the cannabis industry**, offering compliance and workforce management tools. Denver-based, recently funded for national rollout[13].",,8777,requests,Yes
10. Stream,https://getstream.io,"**API platform for chat and activity feeds**, powering messaging in apps and websites. Boulder-based, recently raised funding to expand developer tools[12].",,6510,requests,Yes
2. Wunder,https://www.wundercapital.com,"Fintech/clean energy platform enabling investment in solar projects; founded by Bryan Birsic, Sam Beaudin, and Dave Riess, with investors including Techstars and Fenway Summer Ventures[5][7][13].",,7814,requests,Yes
3. Sweater Ventures,https://www.sweaterventures.com,"Fintech startup offering a venture capital fund accessible to everyone; founded by Chad Lewkowski, Jesse Randall, and Matthew Klein, with investors such as Motivate Venture Capital and Kickstart Fund[",linkedin: https://www.linkedin.com/company/sweaterventures/,5476,requests,Yes
5. Tetra Insights,https://www.tetrainsights.com,"Platform for enterprise user research and insights; founded by Michael Bamberger, with investors such as Techstars and Access Venture Partners[5].",,5513,playwright,Yes
6. Kickfurther,https://www.kickfurther.com,"Crowdfinancing platform for inventory funding; founded by Sean De Clercq, with investors including Techstars and Foundry Group[5][7].",,16316,requests,Yes
7. Misty Robotics,https://www.mistyrobotics.com,"Robotics company developing personal robots; founded by Ian Bernstein, with investors including Venrock and Foundry Group[5].",,3097,requests,Yes
8. Brandzooka,https://www.brandzooka.com,"Self-serve digital advertising platform; founded by Aquiles La Grave, with investors such as Boulder Ventures and Baseline Ventures[5].","facebook: https://www.facebook.com/Brandzooka/, twitter: https://twitter.com/brandzooka, linkedin: https://www.linkedin.com/company/brandzooka/, crunchbase: https://www.crunchbase.com/organization/brandzooka#/entity",3985,requests,Yes
9. Front Range Biosciences,https://www.frontrangebio.com,"Agricultural biotech company focused on cannabis and hemp; founded by Nick Hofmeister, Christopher Zalewski, and Jonathan Vaught, with investors including Welcan Capital and Salveo Capital[5].",,0,requests,No
1. MagicSchool AI,https://www.magicschool.ai,"AI-powered educational technology startup founded in 2023, building tools to enhance teaching and learning with artificial intelligence[3][7].","facebook: https://www.facebook.com/magicschoolai/, instagram: https://www.instagram.com/magicschoolai/, twitter: https://x.com/magicschoolai, youtube: https://www.youtube.com/@magicschoolai, linkedin: https://www.linkedin.com/company/magicschool-ai/",4332,requests,Yes
2. Scholarly Software,https://www.scholarlysoftware.com,"Founded in 2020, this company develops AI and machine learning solutions for the food, wellness, and healthcare industries, with $6M in seed funding[3].",,13604,requests,Yes
5. Revnt,https://www.revnt.com,"Founded in 2020, Revnt offers a platform for educators and businesses to monetize video-based educational content via subscriptions; raised $400K pre-seed funding[9].",,0,requests,No
6. Burstverse AI,https://www.burstverse.ai,"Founded in 2022, Burstverse AI automates DeFi and CeFi operations through a unified AI interface, focusing on financial technology innovation[7].",,0,requests,No
7. Mevi,https://www.mevi.io,"Digital real estate platform founded in 2020, streamlining transactions for agents, buyers, and sellers with seamless digital tools; VC-backed[7].",,3097,requests,Yes
8. Testimonial IQ,https://www.testimonialiq.com,"AI-powered platform founded in 2021 that helps businesses collect, manage, and showcase customer testimonials to boost credibility and sales[3].",,1779,requests,Yes
9. Acesis,https://www.acesis.com,"Healthtech startup founded in 2020, leveraging AI and software to improve healthcare workflows and patient outcomes; seed funded[3].",,2459,requests,Yes
10. Culinary Creative Group,https://www.culinarycreativegroup.com,"Founded in 2021, this tech-enabled hospitality group uses data and software to optimize restaurant operations and guest experiences; VC-backed[3].",,0,requests,No
1. HYVV,https://hyvv.com,"AI-powered operating system for launching startups, providing tools for business planning, marketing, legal, and hiring, all in one platform. Founded in 2022 and based in Fort Collins[4].",,86,playwright,Yes
2. Shadower,https://shadower.com,"Online platform connecting amateurs with experts for real-life shadowing experiences, aiming to reimagine education through hands-on learning and networking. Founded in 2019 in Fort Collins[4].",,75,playwright,Yes
3. Fintary,https://fintary.com,Automates insurance commission and financial operations for insurance companies; recently closed a $10M Series A funding round to expand its platform[9].,,14662,requests,Yes
4. Madwire,https://www.madwire.com,Provides an all-in-one marketing technology platform for businesses to optimize campaigns and streamline operations. Headquartered in Fort Collins and recognized for rapid growth and innovation[10].,,1462,requests,Yes
5. Numerica Corporation,https://www.numerica.us,"Specializes in defense technology, offering advanced solutions in air and missile defense, space domain awareness, and data analytics. Based in Fort Collins[10].",,2025,playwright,Yes
6. FarmFusion,https://www.farmfusion.com,"Focuses on sustainable agriculture technology, providing solutions to optimize farming operations and improve crop yields. Based in Fort Collins[10].",,0,requests,No
7. Encompass Technologies,https://encompasstech.com,"Cloud-based ERP software provider for the beverage distribution industry, offering solutions for inventory, sales, and logistics. Headquartered in Fort Collins[4].",,151,playwright,Yes
8. SummitStone Health Partners,https://www.summitstonehealth.org,"Behavioral health startup delivering mental health and addiction recovery services, using innovative care models. Based in Fort Collins[4].",youtube: https://www.youtube.com/@summitstonehealthpartners/shorts,4614,requests,Yes
10. KLOwen Braces,https://klowenbraces.com,Dental technology startup developing custom 3D-printed orthodontic solutions to improve patient outcomes and treatment efficiency. Based in Fort Collins and a top-funded local startup[14].,,120,playwright,Yes
Quantum Metric,https://www.quantummetric.com,"Provides a digital experience analytics platform for enterprises; founded by technical founder Mario Ciabarra, raised $200M in VC funding, and is Colorado Springs’ first unicorn[5].",,5119,requests,Yes
Bluestaq,https://www.bluestaq.com,"Develops advanced software systems for government and commercial clients, specializing in data management and integration; recognized as an emerging tech startup in Colorado Springs[6].",,7977,requests,Yes
FoodMaven,https://www.foodmaven.com,Operates a tech-enabled food distribution platform focused on reducing food waste; has raised substantial funding and is among the most funded startups in Colorado Springs[14].,,2578,requests,Yes
Altia,https://www.altia.com,"Provides graphical user interface (GUI) development tools for embedded systems, founded by engineers and backed by investors; serves automotive and medical device industries[4].",,2528,requests,Yes
BurstIQ,https://www.burstiq.com,"Offers blockchain-based data solutions for healthcare, enabling secure data exchange and analytics; founded by technologists and has received investor funding[4].",,12470,requests,Yes
Salt Athletic,https://saltathletic.com,"Develops smart athletic gear and wearable technology, attracting investor attention and founded by a technical team[3].",,3128,requests,Yes
Infinite 8 Industries,https://infinite8industries.com,"Focuses on AI and digital transformation solutions, recognized for technological innovation and investor interest in Colorado Springs[3].",,11649,requests,Yes
HyFrontier Technologies,https://hyfrontier.com,"Specializes in proprietary hydrogen-based agricultural technology, founded by technical experts and has received investment[9].",,0,requests,No
8Bit-Corp LLC,https://8bit-corp.com,"Provides technology solutions for small businesses, founded by technologists and active in the Colorado Springs startup ecosystem[9].",,5917,requests,Yes
AMP Robotics,https://www.amprobotics.com,"Robotics and AI company based in Longmont, specializing in intelligent recycling systems using computer vision and machine learning, with multiple funding rounds and rapid scaling[8].",,1488,requests,Yes
UAVenture,https://www.uaventure.com,"Longmont-based startup providing advanced drone software and hardware solutions for commercial and industrial applications, with recent funding and rapid expansion[8].","facebook: https://www.facebook.com/uaventure/, youtube: https://www.youtube.com/channel/UCJHIvRupATydiQwWLdVjlBA/videos, linkedin: https://www.linkedin.com/company/10629753",4769,requests,Yes
Surna,https://www.surna.com,"Climate control technology company in Longmont serving the indoor agriculture industry, known for innovative solutions and recent growth through funding[8].","facebook: https://www.facebook.com/surna, instagram: https://www.instagram.com/surnacultivationtech/, linkedin: https://www.linkedin.com/company/surna-cultivation-technologies/, twitter: https://twitter.com/surnaofficial, youtube: https://www.youtube.com/channel/UCGM4KwXBq4buUz6xDMcCRlw",10244,requests,Yes
Scythe Robotics,https://www.scytherobotics.com,"Robotics company with a Longmont office, developing autonomous commercial lawn mowers, backed by significant venture capital and rapid team expansion[8].","facebook: https://www.facebook.com/scytherobotics/, instagram: https://www.instagram.com/scytherobotics/, linkedin: https://www.linkedin.com/company/scythe-robotics/, twitter: #https://twitter.com/ScytheRobotics, youtube: https://www.youtube.com/c/ScytheRobotics",5215,requests,Yes
EnConnect,https://www.enconnect.io,"Energy technology startup in Longmont focused on smart grid and energy management solutions, with recent funding and fast-growing operations[8].",,0,requests,No
Foundry Group,https://www.foundry.vc,"Boulder-based venture capital firm managing over $3 billion, investing in early-stage technology, internet, and software startups, with a strong focus on innovation and community[3][11].",,3619,requests,Yes
Access Venture Partners,https://www.accessvp.com,"Denver-based VC firm investing in early-stage technology companies in Colorado and the Mountain West, with a portfolio including Inspirato, LogRhythm, and Red Canary[3][7].","linkedin: https://www.linkedin.com/company/access-venture-partners, twitter: https://twitter.com/accessvp?lang=en",2467,requests,Yes
FirstMile Ventures,https://www.firstmilevc.com,"Early-stage venture capital firm based in Colorado and Texas, partnering with founders to build transformative companies across diverse industries[3][11].",linkedin: https://www.linkedin.com/company/firstmile-ventures,3900,requests,Yes
Boulder Ventures,https://www.boulderventures.com,"Focuses on information technology and biotechnology companies, providing capital to high-growth businesses in Colorado’s Front Range and the Mid-Atlantic region[3].",,756,playwright,Yes
Greenmont Capital Partners,https://www.greenmontcapital.com,"Invests in early-stage companies in the natural products sector, particularly those aligned with health and sustainability markets[2][3][7].",linkedin: http://linkedin.com/pub/david-haynes/14/131/4b8,6171,requests,Yes
Colorado Impact Fund,https://www.coloradoimpactfund.com,Denver-based VC firm investing in high-growth Colorado companies with scalable business models and a commitment to community impact[5].,,853,requests,Yes
Factor[e] Ventures,https://www.factore.com,"Impact-focused VC firm supporting startups in energy, agriculture, mobility, and waste, with an emphasis on decarbonized solutions for emerging markets[5].",linkedin: https://www.linkedin.com/company/ampersand-energy/posts/?feedView=all,29533,requests,Yes
Innosphere Ventures,https://innosphereventures.org,Fort Collins-based accelerator and venture fund supporting science and technology startups with business support and access to capital[5].,,18410,requests,Yes
Boomtown Accelerators,https://www.boomtownaccelerators.com,"Boulder-based accelerator offering mentorship and funding to early-stage startups across various industries, helping them refine business models and prepare for growth[5].",,0,requests,No
1. AI Capital,https://aicapital.co,"Denver-based VC investing in growth-stage enterprise applied artificial intelligence software companies, focusing on digitization, supply chain, manufacturing, life sciences, and public safety[1].",,1613,requests,Yes
4. Sequel Venture Partners,https://www.sequelvc.com,"Boulder-based VC investing in early-stage, high-growth technology companies, with a focus on innovation and scalable business models[8].",,482,playwright,Yes
5. Grotech Ventures,https://www.grotech.com,"VC firm investing $500,000 to $5 million in early-stage technology companies, supporting ambitious entrepreneurs in building enduring tech businesses[4].","twitter: http://twitter.com/grotechventure, linkedin: https://www.linkedin.com/company/grotech-capital-group/about/",4875,requests,Yes
6. Service Provider Capital,https://serviceprovidercapital.com,"Colorado VC investing in early-stage, high-growth startups across IT, healthcare, fintech, and other sectors[5][15].",,1366,requests,Yes
8. Cottonwood Technology Fund,https://www.cottonwood.vc,"Deeptech-focused VC investing in early-stage, high-potential startups in advanced materials, photonics, robotics, and clean energy[16].",,14498,requests,Yes
